"Team","First_Season","Last_Season","Number_Of_Seasons","Games_Played","Wins","Losses","Ties","Winning_Pct","Bowl_Games_Played","Bowl_Wins","Bowl_Losses","Bowl_Ties","Bowl_Winning_Pct","Simple_Rating_System","Strength_Of_Schedule","Number_Of_Seasons_Ranked_In_AP_Final_Poll","Conference_Championships","Notes"
"iowa",1899,2023,125,1253,663,548,34,0.546,36,18,17,1,0.514,6.83,5.13,26,11,"record adjusted to 664-547-34 by NCAA"
"iowa-pre-flight",1942,1944,3,31,26,5,0,0.839,0,0,0,0,0,18.05,5.72,2,0,""
"iowa-state",1895,2023,126,1263,545,671,45,0.45,18,5,13,0,0.278,0.31,1.47,3,2,"record adjusted to 546-670-45 by NCAA"
"jackson-state",1977,1977,1,11,8,3,0,0.727,0,0,0,0,0,-1.31,-10.4,0,0,""
"jacksonville-naval-air-station",1942,1942,1,12,9,3,0,0.75,0,0,0,0,0,6.46,-3.13,0,0,""
"jacksonville-state",2023,2023,1,13,9,4,0,0.692,1,1,0,0,1,0.68,-6.01,0,0,""
"james-madison",2022,2023,2,24,19,5,0,0.792,1,0,1,0,0,6.95,-3.87,0,0,""
"kansas",1901,2023,123,1258,547,656,54,0.457,14,7,7,0,0.5,0.92,2.48,7,5,""
"kansas-state",1912,2023,112,1169,510,624,35,0.451,25,11,14,0,0.44,-0.05,2.01,14,4,"record adjusted to 511-624-34 by NCAA"
"kent-state",1962,2023,62,690,226,457,5,0.332,4,1,3,0,0.25,-12.44,-6.62,0,1,""
"kentucky",1915,2023,108,1142,528,578,36,0.478,23,12,11,0,0.522,3.89,3.96,10,2,"record adjusted to 529-577-36 by NCAA"
"knox",1899,1905,5,52,27,23,2,0.538,0,0,0,0,0,-1.9,-3.67,0,0,""
"lafayette",1882,1946,47,440,256,160,24,0.609,0,0,0,0,0,1.07,-2.53,0,0,""
"lake-forest",1893,1899,5,47,17,24,6,0.426,0,0,0,0,0,-7.97,-3.29,0,0,""
"lamar",1973,1981,9,97,33,60,4,0.361,0,0,0,0,0,-12.77,-7.68,0,0,""
"lawrence",1905,1905,1,10,7,3,0,0.7,0,0,0,0,0,3.09,-1.91,0,0,""
"lehigh",1884,1965,43,412,195,197,20,0.498,0,0,0,0,0,-2.98,-2.44,0,0,""
"liberty",2018,2023,6,76,53,23,0,0.697,5,3,2,0,0.6,-0.4,-6.82,1,1,""
"lombard",1903,1903,1,8,5,3,0,0.625,0,0,0,0,0,-2.35,-2.72,0,0,""
"long-beach-state",1969,1991,23,257,129,126,2,0.506,1,0,0,1,0.5,-7.67,-7.16,0,3,"record adjusted to 130-125-2 by NCAA"
"louisiana-lafayette",1973,2023,51,592,272,315,5,0.464,11,7,4,0,0.636,-8.23,-5.88,2,6,"record adjusted to 250-315-5 by NCAA"
"louisiana-monroe",1975,2023,37,428,149,277,2,0.35,1,0,1,0,0,-11.6,-5.19,0,1,""
"louisiana-state",1902,2023,119,1283,813,421,47,0.653,55,30,24,1,0.555,9.99,4.52,43,12,"record adjusted to 778-417-47 by NCAA"
"louisiana-tech",1975,2023,43,506,253,246,7,0.507,13,8,4,1,0.654,-4.45,-4.71,0,4,"record adjusted to 254-245-7 by NCAA"
"louisville",1962,2023,62,719,385,326,7,0.541,25,11,13,1,0.46,-0.46,-1.72,11,8,"record adjusted to 387-324-7 by NCAA"
"loyola-la",1934,1936,3,28,10,17,1,0.375,0,0,0,0,0,-6.61,-3.13,0,0,""
"loyola-marymount",1933,1951,13,127,66,57,4,0.535,0,0,0,0,0,-2.09,-4.02,0,0,""
"lubbock-field",1944,1944,1,9,5,4,0,0.556,0,0,0,0,0,-1.45,-3.01,0,0,""
"maine",1904,1905,2,16,8,7,1,0.531,0,0,0,0,0,-0.56,-0.88,0,0,""
"manhattan",1936,1942,7,63,30,31,2,0.492,0,0,0,0,0,-0.84,0.07,0,0,""
"march-field",1943,1944,2,21,16,3,2,0.81,0,0,0,0,0,5.33,-5.69,2,0,""
"mare-island-marines",1917,1918,2,19,18,1,0,0.947,2,1,1,0,0.5,13.72,-5.57,0,0,""
"marquette",1927,1960,34,306,131,160,15,0.453,1,0,1,0,0,-0.76,0.34,1,0,""
"marshall",1962,2023,47,550,261,284,3,0.479,19,13,6,0,0.684,-7.82,-5.97,3,6,""
"maryland",1917,2023,107,1150,585,534,30,0.522,30,14,14,2,0.5,2.49,1.82,18,11,""
"maryville-tn",1906,1907,2,13,3,8,2,0.308,0,0,0,0,0,-9.89,0.71,0,0,""
"massachusetts",1882,2023,26,252,71,175,6,0.294,0,0,0,0,0,-11.42,-3.8,0,0,""
"mcneese-state",1975,1981,7,82,57,21,2,0.725,3,1,2,0,0.333,-1.17,-7.87,0,3,""
"memphis",1960,2023,64,724,357,358,8,0.499,15,7,8,0,0.467,-0.84,-1.63,3,5,"record adjusted to 358-357-8 by NCAA"
"mercer",1909,1936,15,138,55,74,9,0.431,0,0,0,0,0,-3.92,-2.03,0,0,""
"merchant-marine",1945,1947,3,30,11,19,0,0.367,0,0,0,0,0,-13.91,-8.35,0,0,""
"miami-fl",1936,2023,87,981,614,353,12,0.633,42,19,23,0,0.452,8.68,3.56,33,9,""
"miami-oh",1962,2023,62,703,384,301,15,0.559,13,6,7,0,0.462,-3.68,-5.94,4,11,"record adjusted to 385-300-15 by NCAA"
"michigan",1881,2023,134,1380,978,345,35,0.733,52,23,29,0,0.442,13.84,5.06,63,45,""
"michigan-state",1918,2023,99,1055,607,405,30,0.597,30,14,16,0,0.467,8.97,4.88,28,9,"record adjusted to 602-410-30 by NCAA"
"middle-tennessee-state",1999,2023,25,303,147,156,0,0.485,10,4,6,0,0.4,-6.65,-5.8,0,2,""
"millsaps",1924,1924,1,9,3,5,1,0.389,0,0,0,0,0,-10.12,-7.78,0,0,""
"minnesota",1892,2023,132,1295,717,534,42,0.571,24,12,12,0,0.5,8.18,4.85,15,18,""
"mississippi",1902,2023,118,1246,679,528,34,0.561,41,26,15,0,0.634,4.99,2.86,26,6,"record adjusted to 650-524-34 by NCAA"
"mississippi-college",1911,1924,10,81,38,37,6,0.506,0,0,0,0,0,-3.35,-2.44,0,0,""
"mississippi-state",1902,2023,119,1220,603,579,37,0.51,26,15,11,0,0.577,3.46,3.07,15,1,"record adjusted to 586-597-36 by NCAA"
"mississippi-valley-state",1977,1977,1,10,5,5,0,0.5,0,0,0,0,0,-11.39,-10.79,0,0,""
"missouri",1901,2023,122,1271,663,558,50,0.541,36,16,20,0,0.444,4.84,3.22,18,12,"record adjusted to 665-556-50 by NCAA"
"mit",1882,1899,12,77,27,48,2,0.364,0,0,0,0,0,-5.2,0.64,0,0,""
"montana",1917,1962,38,332,123,199,10,0.386,0,0,0,0,0,-8.86,-4.6,0,0,""
"montana-state",1923,1947,17,140,65,66,9,0.496,1,0,0,1,0.5,-7.34,-6.98,0,2,""
"nashville",1904,1904,1,9,1,7,1,0.167,0,0,0,0,0,-6.15,4.4,0,0,""
"navy",1891,2023,130,1340,705,581,52,0.546,24,12,11,1,0.521,3.83,1.38,14,0,""
"nebraska",1900,2023,124,1331,882,399,38,0.683,53,26,27,0,0.491,10.5,3.75,48,43,"record adjusted to 883-399-37 by NCAA"
"nevada",1946,2023,37,439,232,207,0,0.528,19,7,12,0,0.368,-4.23,-5.56,1,7,""
"nevada-las-vegas",1978,2023,46,535,199,332,3,0.375,5,3,2,0,0.6,-9.32,-3.93,0,1,"record adjusted to 181-350-3 by NCAA"
"new-hampshire",1904,1905,2,15,4,9,2,0.333,0,0,0,0,0,-10.04,-4.12,0,0,""
"new-mexico",1931,2023,92,1003,411,576,17,0.418,12,4,7,1,0.375,-6.96,-4,0,4,""
"new-mexico-state",1931,2023,90,961,336,611,14,0.357,6,4,1,1,0.75,-13.15,-7.73,1,4,"record adjusted to 337-610-14 by NCAA"
"new-york-university",1927,1952,24,205,97,99,9,0.495,0,0,0,0,0,-4.24,-3.23,0,0,""
"newberry",1914,1925,11,86,34,48,4,0.419,0,0,0,0,0,-9.95,-5.22,0,0,""
"norman-naval-air-station",1944,1944,1,6,6,0,0,1,0,0,0,0,0,18.01,3.51,1,0,""
"north-carolina",1902,2023,120,1278,685,541,48,0.557,38,15,23,0,0.395,4.75,2.82,17,7,"record adjusted to 669-541-48 by NCAA"
"north-carolina-pre-flight",1942,1943,2,18,10,6,2,0.611,0,0,0,0,0,3.2,2,0,0,""
"north-carolina-state",1902,2023,118,1240,614,579,46,0.514,35,17,17,1,0.5,1.74,1.35,14,7,""
"north-texas",1953,2023,59,659,284,365,11,0.439,12,2,10,0,0.167,-7.9,-5.18,0,9,"record adjusted to 287-362-11 by NCAA"
